,체결시간,거래량,시가,고가,저가,현재가
2699,20170913091900,22287,75000,75200,75000,75200
2698,20170913092000,22265,75200,75200,75100,75200
2697,20170913092100,18052,75200,75300,75100,75300
2696,20170913092200,37186,75300,75400,75200,75400
2695,20170913092300,25655,75300,75400,75200,75200
2694,20170913092400,13209,75200,75300,75200,75200
2693,20170913092500,11290,75200,75300,75100,75300
2692,20170913092600,6863,75200,75300,75200,75200
2691,20170913092700,6635,75200,75300,75200,75300
2690,20170913092800,16084,75200,75300,75200,75300
2689,20170913092900,8878,75200,75300,75100,75200
2688,20170913093000,7348,75200,75300,75100,75200
2687,20170913093100,2081,75200,75300,75200,75200
2686,20170913093200,6345,75300,75300,75200,75300
2685,20170913093300,3262,75200,75300,75200,75300
2684,20170913093400,23629,75300,75400,75200,75400
2683,20170913093500,100592,75400,75600,75300,75600
2682,20170913093600,72715,75600,75800,75500,75800
2681,20170913093700,50572,75800,75900,75700,75800
2680,20170913093800,71402,75900,76000,75800,76000
2679,20170913093900,33600,76000,76000,75900,75900
2678,20170913094000,24036,76000,76000,75700,75700
2677,20170913094100,3647,75800,75800,75700,75800
2676,20170913094200,5362,75700,75800,75700,75800
2675,20170913094300,15888,75800,75800,75700,75800
2674,20170913094400,13608,75800,75900,75700,75800
2673,20170913094500,12969,75900,75900,75800,75900
2672,20170913094600,7569,75900,75900,75800,75900
2671,20170913094700,25140,75900,76000,75800,76000
2670,20170913094800,75284,76000,76100,75900,76100
2669,20170913094900,53120,76100,76200,76000,76100
2668,20170913095000,24992,76100,76200,76000,76200
2667,20170913095100,34363,76200,76300,76100,76300
2666,20170913095200,46344,76200,76400,76200,76300
2665,20170913095300,28127,76400,76400,76000,76100
2664,20170913095400,26576,76100,76300,76000,76200
2663,20170913095500,19087,76200,76300,76100,76300
2662,20170913095600,22235,76300,76400,76200,76300
2661,20170913095700,22619,76400,76400,76200,76300
2660,20170913095800,33854,76300,76400,76200,76400
2659,20170913095900,26129,76400,76500,76300,76400
2658,20170913100000,15714,76300,76400,76200,76300
2657,20170913100100,10131,76300,76400,76200,76400
2656,20170913100200,17895,76400,76400,76300,76300
2655,20170913100300,7647,76300,76400,76300,76400
2654,20170913100400,7736,76400,76400,76300,76400
2653,20170913100500,23523,76300,76400,76200,76300
2652,20170913100600,18876,76300,76300,76100,76200
2651,20170913100700,6441,76200,76200,76100,76200
2650,20170913100800,13262,76100,76200,76000,76100
2649,20170913100900,19302,76000,76100,75900,76000
2648,20170913101000,17700,76000,76000,75900,75900
2647,20170913101100,24977,76000,76100,75900,76100
2646,20170913101200,38449,76100,76300,76000,76200
2645,20170913101300,28831,76200,76300,76100,76300
2644,20170913101400,7985,76200,76300,76100,76200
2643,20170913101500,6545,76300,76300,76100,76200
2642,20170913101600,6107,76200,76200,76000,76200
2641,20170913101700,2558,76200,76200,76100,76200
2640,20170913101800,6681,76200,76200,76100,76200
2639,20170913101900,7889,76200,76300,76100,76300
2638,20170913102000,8610,76300,76300,76200,76300
2637,20170913102100,11617,76300,76300,76200,76300
2636,20170913102200,8283,76300,76300,76200,76300
2635,20170913102300,11822,76300,76400,76200,76400
2634,20170913102400,5309,76400,76400,76300,76400
2633,20170913102500,26947,76400,76400,76200,76400
2632,20170913102600,12344,76400,76400,76300,76300
2631,20170913102700,6259,76200,76300,76200,76300
2630,20170913102800,7583,76300,76300,76200,76300
2629,20170913102900,22804,76300,76300,76100,76100
2628,20170913103000,4537,76200,76200,76100,76200
2627,20170913103100,4640,76200,76200,76100,76200
2626,20170913103200,6044,76200,76200,76100,76200
2625,20170913103300,18020,76200,76200,76000,76100
2624,20170913103400,3311,76200,76200,76100,76200
2623,20170913103500,2015,76100,76200,76100,76200
2622,20170913103600,3335,76200,76200,76100,76200
2621,20170913103700,4366,76200,76200,76100,76200
2620,20170913103800,6229,76200,76200,76100,76100
2619,20170913103900,7921,76100,76200,76100,76200
2618,20170913104000,14370,76200,76200,76000,76000
2617,20170913104100,10419,76100,76100,76000,76100
2616,20170913104200,2258,76100,76100,76000,76000
2615,20170913104300,2462,76100,76100,76000,76100
2614,20170913104400,10865,76100,76200,76000,76100
2613,20170913104500,4026,76200,76200,76100,76200
2612,20170913104600,5322,76200,76200,76100,76100
2611,20170913104700,2876,76100,76200,76100,76100
2610,20170913104800,24928,76100,76300,76100,76300
2609,20170913104900,10398,76300,76300,76200,76300
2608,20170913105000,12609,76300,76400,76300,76400
2607,20170913105100,5331,76400,76400,76300,76400
2606,20170913105200,13198,76400,76400,76300,76400
2605,20170913105300,29577,76400,76500,76300,76500
2604,20170913105400,5170,76500,76500,76400,76500
2603,20170913105500,28343,76500,76500,76200,76400
2602,20170913105600,6257,76400,76400,76300,76400
2601,20170913105700,2665,76400,76400,76300,76400
2600,20170913105800,11169,76400,76400,76200,76300
2599,20170913105900,6452,76300,76400,76200,76300
2598,20170913110000,6308,76400,76400,76300,76400
2597,20170913110100,2497,76400,76400,76300,76300
2596,20170913110200,4593,76400,76400,76300,76400
2595,20170913110300,3204,76400,76400,76300,76400
2594,20170913110400,5269,76400,76400,76300,76300
2593,20170913110500,3951,76300,76400,76300,76400
2592,20170913110600,21620,76400,76500,76300,76500
2591,20170913110700,110739,76500,76700,76400,76700
2590,20170913110800,43144,76700,76800,76600,76800
2589,20170913110900,88050,76800,76900,76700,76900
2588,20170913111000,4159,76900,76900,76800,76900
2587,20170913111100,34915,76800,76900,76700,76700
2586,20170913111200,2394,76800,76800,76700,76800
2585,20170913111300,2800,76800,76800,76700,76700
2584,20170913111400,5393,76800,76800,76700,76700
2583,20170913111500,7752,76700,76800,76700,76800
2582,20170913111600,14870,76800,76800,76700,76800
2581,20170913111700,6607,76700,76800,76700,76700
2580,20170913111800,7886,76800,76800,76600,76700
2579,20170913111900,4114,76600,76700,76600,76700
2578,20170913112000,6363,76700,76700,76600,76700
2577,20170913112100,7725,76700,76800,76600,76800
2576,20170913112200,19717,76800,76900,76700,76900
2575,20170913112300,7042,76800,76900,76800,76900
2574,20170913112400,5939,76900,76900,76800,76800
2573,20170913112500,8515,76900,76900,76800,76900
2572,20170913112600,5377,76900,76900,76800,76800
2571,20170913112700,3629,76900,76900,76800,76900
2570,20170913112800,86425,76900,77000,76800,77000
2569,20170913112900,112347,77000,77100,76900,77100
2568,20170913113000,58398,77100,77200,77000,77200
2567,20170913113100,27383,77000,77100,76900,76900
2566,20170913113200,20250,77000,77100,76800,76900
2565,20170913113300,11728,76900,76900,76800,76900
2564,20170913113400,10902,76900,77000,76800,76900
2563,20170913113500,5426,76900,77000,76800,76900
2562,20170913113600,2903,76900,77000,76900,76900
2561,20170913113700,13620,77000,77000,76800,76800
2560,20170913113800,11599,76900,76900,76700,76700
2559,20170913113900,4944,76800,76800,76700,76700
2558,20170913114000,5329,76700,76900,76700,76900
2557,20170913114100,10869,76800,76900,76700,76900
2556,20170913114200,8569,76800,76900,76800,76900
2555,20170913114300,1744,76800,76900,76800,76800
2554,20170913114400,6343,76900,76900,76800,76800
2553,20170913114500,4912,76800,76900,76800,76800
2552,20170913114600,16311,76900,76900,76700,76800
2551,20170913114700,4368,76700,76800,76700,76700
2550,20170913114800,2677,76800,76800,76700,76700
2549,20170913114900,1849,76700,76800,76700,76800
2548,20170913115000,8569,76700,76800,76700,76700
2547,20170913115100,10618,76800,76800,76600,76700
2546,20170913115200,4079,76800,76800,76700,76800
2545,20170913115300,3710,76700,76800,76600,76700
2544,20170913115400,2526,76700,76700,76600,76700
2543,20170913115500,5356,76700,76700,76600,76700
2542,20170913115600,4469,76700,76700,76600,76600
2541,20170913115700,6257,76700,76700,76600,76600
2540,20170913115800,4330,76700,76700,76600,76700
2539,20170913115900,8525,76700,76800,76700,76700
2538,20170913120000,5414,76800,76800,76700,76800
2537,20170913120100,13332,76700,76800,76700,76700
2536,20170913120200,4660,76700,76800,76700,76800
2535,20170913120300,2166,76700,76800,76700,76800
2534,20170913120400,2229,76700,76800,76700,76800
2533,20170913120500,3065,76800,76800,76700,76700
2532,20170913120600,2377,76800,76800,76700,76800
2531,20170913120700,5742,76800,76800,76700,76700
2530,20170913120800,3310,76700,76800,76700,76700
2529,20170913120900,2032,76800,76800,76700,76800
2528,20170913121000,3252,76800,76800,76700,76700
2527,20170913121100,3495,76700,76800,76700,76800
2526,20170913121200,2692,76700,76800,76700,76700
2525,20170913121300,4451,76800,76800,76700,76800
2524,20170913121400,5326,76800,76800,76700,76700
2523,20170913121500,14760,76700,76800,76600,76600
2522,20170913121600,9860,76700,76700,76500,76600
2521,20170913121700,5071,76500,76600,76500,76500
2520,20170913121800,4384,76600,76600,76500,76500
2519,20170913121900,8404,76500,76700,76500,76700
2518,20170913122000,13389,76700,76800,76600,76800
2517,20170913122100,10055,76800,76800,76700,76800
2516,20170913122200,6872,76800,76900,76700,76800
2515,20170913122300,6306,76800,76900,76800,76900
2514,20170913122400,8246,76900,76900,76800,76900
2513,20170913122500,75922,76900,77000,76800,77000
2512,20170913122600,20063,77000,77000,76900,76900
2511,20170913122700,16475,76900,77000,76800,77000
2510,20170913122800,15946,77000,77000,76800,76900
2509,20170913122900,3814,76900,76900,76800,76900
2508,20170913123000,2384,76900,76900,76800,76800
2507,20170913123100,150159,76900,77300,76900,77300
2506,20170913123200,39052,77300,77400,77200,77300
2505,20170913123300,10818,77300,77300,77100,77200
2504,20170913123400,12790,77200,77300,77100,77300
2503,20170913123500,4372,77300,77300,77200,77300
2502,20170913123600,5485,77300,77300,77200,77200
2501,20170913123700,56609,77300,77400,77300,77300
2500,20170913123800,4244,77400,77400,77300,77300
2499,20170913123900,23774,77300,77400,77200,77200
2498,20170913124000,17014,77300,77300,77100,77200
2497,20170913124100,21845,77100,77200,77000,77100
2496,20170913124200,4427,77100,77200,77100,77200
2495,20170913124300,4068,77100,77200,77100,77100
2494,20170913124400,5384,77200,77200,77100,77200
2493,20170913124500,13803,77100,77300,77100,77200
2492,20170913124600,11260,77300,77300,77100,77300
2491,20170913124700,15026,77200,77300,77100,77200
2490,20170913124800,23056,77300,77300,77200,77300
2489,20170913124900,4194,77200,77300,77200,77200
2488,20170913125000,18233,77200,77300,77200,77300
2487,20170913125100,8002,77200,77300,77200,77300
2486,20170913125200,9981,77200,77300,77200,77300
2485,20170913125300,43994,77300,77400,77200,77200
2484,20170913125400,7305,77200,77300,77100,77100
2483,20170913125500,11885,77200,77300,77100,77200
2482,20170913125600,4035,77200,77300,77200,77300
2481,20170913125700,4036,77300,77300,77200,77300
2480,20170913125800,3993,77300,77300,77200,77200
2479,20170913125900,3159,77300,77300,77200,77300
2478,20170913130000,9351,77300,77300,77200,77200
2477,20170913130100,20755,77200,77300,77100,77100
2476,20170913130200,3014,77200,77200,77100,77100
2475,20170913130300,16913,77100,77300,77100,77300
2474,20170913130400,9496,77200,77300,77200,77200
2473,20170913130500,6034,77200,77300,77100,77200
2472,20170913130600,10911,77200,77300,77100,77200
2471,20170913130700,3534,77300,77300,77100,77100
2470,20170913130800,8563,77100,77300,77100,77300
2469,20170913130900,7408,77300,77300,77200,77300
2468,20170913131000,3801,77300,77300,77200,77300
2467,20170913131100,9363,77300,77300,77100,77100
2466,20170913131200,25294,77200,77200,77000,77100
2465,20170913131300,4706,77000,77200,77000,77200
2464,20170913131400,3961,77200,77200,77100,77200
2463,20170913131500,1610,77200,77200,77100,77100
2462,20170913131600,38708,77200,77200,76900,76900
2461,20170913131700,14077,76900,77000,76800,76900
2460,20170913131800,5832,76900,77000,76900,76900
2459,20170913131900,13163,77000,77000,76800,76800
2458,20170913132000,5882,76800,76900,76800,76900
2457,20170913132100,3560,76900,76900,76800,76800
2456,20170913132200,3061,76900,76900,76800,76800
2455,20170913132300,2018,76900,76900,76800,76800
2454,20170913132400,20074,76900,77000,76800,77000
2453,20170913132500,3099,77000,77000,76900,77000
2452,20170913132600,25621,77000,77000,76900,76900
2451,20170913132700,3240,76900,77000,76900,77000
2450,20170913132800,7999,77000,77000,76800,76900
2449,20170913132900,11162,76900,77000,76800,76900
2448,20170913133000,3966,76800,76900,76800,76900
2447,20170913133100,5612,76900,76900,76800,76900
2446,20170913133200,6201,76900,77000,76800,77000
2445,20170913133300,5378,77000,77000,76900,77000
2444,20170913133400,2931,77000,77000,76900,77000
2443,20170913133500,4062,77000,77000,76900,76900
2442,20170913133600,2833,77000,77000,76900,76900
2441,20170913133700,8157,76900,77000,76900,76900
2440,20170913133800,7004,77000,77000,76900,77000
2439,20170913133900,3462,76900,77000,76900,77000
2438,20170913134000,3540,77000,77000,76900,77000
2437,20170913134100,4743,77000,77000,76900,76900
2436,20170913134200,4143,76900,77000,76900,77000
2435,20170913134300,2463,76900,77000,76900,76900
2434,20170913134400,5402,76900,77000,76900,76900
2433,20170913134500,3641,76900,77000,76900,76900
2432,20170913134600,11861,77000,77000,76900,76900
2431,20170913134700,5877,76900,77000,76900,77000
2430,20170913134800,8082,77000,77000,76900,77000
2429,20170913134900,24122,77000,77100,76900,77100
